i,j,theta_lo,phi_lo,theta_hi,phi_hi,hs
2,15,0.12566370614359174,1.884955592153876,0.1884955592153876,2.0106192982974678,794.9284825672174
2,16,0.12566370614359174,2.0106192982974678,0.1884955592153876,2.1362830044410597,3663.618647781514
2,17,0.12566370614359174,2.1362830044410597,0.1884955592153876,2.261946710584651,2067.526631902699
2,18,0.12566370614359174,2.261946710584651,0.1884955592153876,2.387610416728243,1235.9975917190573
2,19,0.12566370614359174,2.387610416728243,0.1884955592153876,2.5132741228718345,2043.3152010900683
2,20,0.12566370614359174,2.5132741228718345,0.1884955592153876,2.6389378290154264,1988.3333899804409
2,21,0.12566370614359174,2.6389378290154264,0.1884955592153876,2.7646015351590183,1604.2704590630217
2,22,0.12566370614359174,2.7646015351590183,0.1884955592153876,2.8902652413026098,2808.768898320171
2,23,0.12566370614359174,2.8902652413026098,0.1884955592153876,3.0159289474462017,2776.0551255833625
2,24,0.12566370614359174,3.0159289474462017,0.1884955592153876,3.1415926535897936,1194.0527048931617
2,25,0.12566370614359174,3.1415926535897936,0.1884955592153876,3.267256359733385,817.5204196800083
2,26,0.12566370614359174,3.267256359733385,0.1884955592153876,3.392920065876977,4422.108522102296
2,27,0.12566370614359174,3.392920065876977,0.1884955592153876,3.518583772020569,3211.6179561557424
2,28,0.12566370614359174,3.518583772020569,0.1884955592153876,3.6442474781641603,1994.3255166698616
2,29,0.12566370614359174,3.6442474781641603,0.1884955592153876,3.769911184307752,1199.3970341026386
2,30,0.12566370614359174,3.769911184307752,0.1884955592153876,3.8955748904513436,1575.8483446308082
2,31,0.12566370614359174,3.8955748904513436,0.1884955592153876,4.0212385965949355,2370.776827198019
2,32,0.12566370614359174,4.0212385965949355,0.1884955592153876,4.1469023027385274,1974.3247694768118
2,33,0.12566370614359174,4.1469023027385274,0.1884955592153876,4.272566008882119,1185.3884135990095
2,34,0.12566370614359174,4.272566008882119,0.1884955592153876,4.39822971502571,2793.869556281639
2,35,0.12566370614359174,4.39822971502571,0.1884955592153876,4.523893421169302,4722.200704682932
2,36,0.12566370614359174,4.523893421169302,0.1884955592153876,4.649557127312894,3573.493823385333
2,37,0.12566370614359174,4.649557127312894,0.1884955592153876,4.775220833456486,780.9198620635868
2,38,0.12566370614359174,4.775220833456486,0.1884955592153876,4.900884539600078,3160.3609805557585
2,39,0.12566370614359174,4.900884539600078,0.1884955592153876,5.026548245743669,2370.7768271980362
2,40,0.12566370614359174,5.026548245743669,0.1884955592153876,5.152211951887261,1191.0566415484548
2,41,0.12566370614359174,5.152211951887261,0.1884955592153876,5.277875658030853,1569.856217941389
2,42,0.12566370614359174,5.277875658030853,0.1884955592153876,5.403539364174445,3182.9529176685473
2,43,0.12566370614359174,5.403539364174445,0.1884955592153876,5.529203070318037,2387.862485731347
2,44,0.12566370614359174,5.529203070318037,0.1884955592153876,5.6548667764616285,2424.139144607798
2,45,0.12566370614359174,5.6548667764616285,0.1884955592153876,5.7805304826052195,1635.2027887300067
2,46,0.12566370614359174,5.7805304826052195,0.1884955592153876,5.906194188748811,1612.934750357174
2,47,0.12566370614359174,5.906194188748811,0.1884955592153876,6.031857894892403,2407.3773848144374
2,48,0.12566370614359174,6.031857894892403,0.1884955592153876,6.157521601035995,1993.9206432448943
2,49,0.12566370614359174,6.157521601035995,0.1884955592153876,6.283185307179586,1575.8483446308142
3,0,0.1884955592153876,0.0,0.25132741228718347,0.12566370614359174,2847.0361521934715
3,1,0.1884955592153876,0.12566370614359174,0.25132741228718347,0.25132741228718347,1450.258579637193
3,2,0.1884955592153876,0.25132741228718347,0.25132741228718347,0.3769911184307752,2307.0579927521794
3,3,0.1884955592153876,0.3769911184307752,0.25132741228718347,0.5026548245743669,2870.6699957134842
3,4,0.1884955592153876,0.5026548245743669,0.25132741228718347,0.6283185307179586,2317.161896370073
3,5,0.1884955592153876,0.6283185307179586,0.25132741228718347,0.7539822368615504,2560.8169514314386
3,6,0.1884955592153876,0.7539822368615504,0.25132741228718347,0.8796459430051422,2015.8449085927978
3,7,0.1884955592153876,0.8796459430051422,0.25132741228718347,1.0053096491487339,4010.785189010648
3,8,0.1884955592153876,1.0053096491487339,0.25132741228718347,1.1309733552923256,2870.960337771471
